Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-06-25,2230.55,2231.52,2208.35,2208.35,19050536
2012-06-26,2223.2,2259.94,2220.23,2252.23,31438346
2012-06-27,2253.63,2276.19,2245.79,2276.19,26865567
2012-06-28,2272.48,2272.64,2229.73,2238.18,23835281
2012-06-29,2272.27,2275.3,2252.73,2275.3,32967552
2012-07-02,2266.57,2276.01,2248.64,2254.86,13455669
2012-07-03,2261.42,2277.86,2256.3,2270.54,23212779
2012-07-04,2267.59,2273.15,2251.92,2262.27,32016951
2012-07-05,2268.93,2302.06,2264.1,2287.47,27848704
2012-07-06,2288.63,2294.5,2258.11,2273.28,22170584
2012-07-09,2263.46,2268.51,2237.99,2241.55,17623113
2012-07-10,2244.71,2253.55,2228.91,2247.02,16257488
2012-07-11,2240.95,2245.91,2212.72,2221.15,31587457
2012-07-12,2147.47,2166.35,2142.07,2153.9,35871573
2012-07-13,2167.91,2192.71,2162.23,2191.41,25741929
2012-07-16,2193.26,2193.36,2175.84,2188.92,12047499
2012-07-17,2188.67,2198.5,2179.74,2190.9,37065082
2012-07-18,2188.65,2190.51,2163.31,2184.83,23455604
2012-07-19,2192.34,2198.92,2172.32,2198.92,26099373
2012-07-20,2193.57,2198.07,2168.51,2172.56,31254734
2012-07-23,2140.94,2144.73,2097.57,2101.1,26050239
2012-07-24,2104.32,2115.12,2089.08,2114.51,21482629
2012-07-25,2102.84,2136.74,2099.37,2118.73,24092794
2012-07-26,2122.35,2152.56,2110.1,2114.71,26136129
2012-07-27,2149.1,2168.36,2141.46,2162.64,28487618
2012-07-30,2168.5,2191.93,2160.29,2190.68,14144790
2012-07-31,2184.13,2194.07,2168.92,2185.67,28333512
2012-08-01,2181.33,2188.76,2174.75,2188.63,19152015
2012-08-02,2185.29,2206.88,2162.44,2170.95,17691222
2012-08-03,2173.78,2229.01,2173.58,2222.64,18014510
2012-08-06,2226.56,2261.97,2223.2,2261.97,18018176
2012-08-07,2258.61,2273.33,2250.33,2266.53,22242939
2012-08-08,2257.87,2269.33,2247.82,2269.33,18212771
2012-08-09,2282.73,2322.95,2270.22,2319.42,34931704
2012-08-10,2307.49,2326.61,2301.64,2313.09,28003903
2012-08-13,2304.41,2335.5,2298.32,2311.84,15388661
2012-08-14,2325.25,2331.65,2312.59,2317.7,29146591
2012-08-16,2328.7,2351.03,2324.91,2343.94,48072745
2012-08-17,2344.85,2351.85,2311.67,2313.69,23027463
2012-08-20,2294.42,2301.37,2280.76,2281.86,24688517
2012-08-21,2297.6,2313.24,2297.6,2299.36,25940807
2012-08-22,2290.7,2295.14,2273.59,2279.15,23018943
2012-08-23,2291.25,2291.95,2265.42,2278.08,23788622
2012-08-24,2274.41,2289.38,2263.98,2283.08,20260537
2012-08-27,2281.74,2294.6,2274.55,2276.94,12386637
2012-08-28,2257.69,2263.87,2250.21,2253.26,20726812
2012-08-29,2259.6,2260.22,2235.53,2235.53,22455654
2012-08-30,2234.48,2246.02,2224.38,2227.08,50183754
2012-08-31,2235.03,2267.15,2233.08,2258.29,44812952
2012-09-03,2261.63,2282.64,2260.06,2265.07,17363584
2012-09-04,2264.13,2268.78,2247.56,2248.48,13234456
2012-09-05,2250.76,2269.55,2244.78,2260.87,25209737
2012-09-06,2267.91,2300.52,2266.88,2296.88,27883565
2012-09-07,2299.28,2325.94,2299.28,2317.21,37902507
2012-09-10,2318.43,2338.44,2318.2,2335.29,32094763
2012-09-11,2325.37,2352.88,2318.89,2352.88,17510306
2012-09-12,2357.48,2364.05,2338.28,2347.22,29301855
2012-09-13,2345.1,2353.51,2330.83,2353.51,38690363
2012-09-14,2408.81,2424.09,2396.47,2417.32,78410485
2012-09-17,2408.57,2420.76,2400.96,2403.23,20786552
2012-09-18,2397.82,2405.41,2386.71,2405.41,54709567
2012-09-19,2410.46,2422.1,2401.55,2416.64,41015163
2012-09-20,2398.78,2399.71,2378.6,2387.45,39983114
2012-09-21,2391.39,2395.73,2372.93,2380.32,46415310
2012-09-24,2375.26,2376.91,2355.86,2367.42,29005235
2012-09-25,2368.51,2386.63,2364.67,2382.03,27665480
2012-09-26,2354.51,2358.18,2346.97,2357.34,28406848
2012-09-27,2360.68,2375.96,2353.07,2375.96,33085975
2012-09-28,2378.73,2382.92,2360.85,2371.42,50370619
2012-10-01,2363.98,2399.93,2357.28,2399.8,38583747
2012-10-02,2397.09,2416.45,2394.16,2399.29,58186781
2012-10-03,2398.38,2407.4,2379.68,2388.78,49702097
2012-10-04,2398.13,2400.63,2370.18,2370.18,25306410
2012-10-05,2377,2411.07,2374.77,2411.07,26125176
2012-10-08,2399.62,2407.66,2390.59,2400.99,48661303
2012-10-09,2400.6,2404.61,2373.74,2376.24,43433036
2012-10-10,2372.7,2392.33,2364.07,2392.33,47523033
2012-10-11,2385.44,2403.38,2383.67,2394.21,36622571
2012-10-12,2387.39,2393.19,2370.33,2375.91,24351556
2012-10-15,2371.08,2382.07,2367.3,2377.22,22852482
2012-10-16,2389.51,2400.73,2384.86,2397.98,23209469
2012-10-17,2396.22,2398.28,2373.23,2391.57,73707865
2012-10-18,2397.01,2406.79,2382.06,2397.93,42105553
2012-10-19,2397.19,2397.19,2350.25,2350.25,42326948
2012-10-22,2354.3,2361.73,2344.65,2350.61,23107477
2012-10-23,2351.51,2351.99,2310.25,2310.25,28250493
2012-10-24,2317.75,2326.95,2304.3,2321.53,22726049
2012-10-25,2326.25,2330.58,2314.97,2328.61,39840788
2012-10-26,2308.8,2327.2,2303.33,2320.08,18396593
2012-10-29,2313.94,2321.53,2311.12,2316.38,22171457
2012-10-30,2315.31,2327.47,2315.31,2323.32,17571706
2012-10-31,2322.89,2341.79,2313.42,2317.56,20855809
2012-11-02,2329,2345.99,2316,2345.99,37392509
2012-11-05,2325.79,2348.04,2321.85,2343.9,18516846
2012-11-06,2349.43,2350.98,2337.84,2342.79,65644545
2012-11-07,2347.41,2353.23,2321.61,2325.15,29179595
2012-11-08,2324.58,2338.06,2317.51,2338.06,26163222
2012-11-09,2331.55,2333.16,2306.35,2323.97,28842867
2012-11-12,2319.92,2343.61,2318.8,2335.02,26064603
2012-11-13,2333.58,2354.3,2325.13,2354.3,30346618
2012-11-14,2355.67,2383.38,2349.43,2366.77,51104486
2012-11-15,2360.33,2382.29,2354.76,2371.77,44780508
2012-11-16,2373.12,2383.53,2367.74,2367.74,36731026
2012-11-19,2379.67,2409.8,2377.8,2404.36,33118925
2012-11-20,2404.86,2407.14,2389.52,2404.88,29134454
2012-11-21,2401.23,2404.31,2381.43,2385.95,20967390
2012-11-22,2386.18,2392.36,2374.31,2374.31,18981145
2012-11-23,2382.08,2398.39,2370.15,2398.39,23345856
2012-11-26,2398.63,2413.28,2388.54,2405.82,24874923
2012-11-27,2421.54,2423.98,2400.09,2407.06,37168637
2012-11-28,2396.9,2407.42,2389.72,2401.54,43369565
2012-11-29,2415.44,2424.47,2410.79,2410.79,28037478
2012-11-30,2413.43,2421.54,2404.34,2421.54,49033084
2012-12-03,2419.92,2447.09,2419.92,2442.58,28685992
2012-12-04,2438.88,2466.85,2436.62,2457.52,24526350
2012-12-05,2471.17,2481.51,2457.74,2468.85,37739394
2012-12-06,2475.1,2486.42,2461.77,2485.44,36933841
2012-12-07,2483.94,2484.23,2450.74,2450.74,26182945
2012-12-10,2450.99,2476.53,2448.64,2476.53,29673359
2012-12-11,2480.06,2512.64,2478.83,2512.64,52253005
2012-12-12,2519.53,2528.28,2502.27,2525.4,55185993
2012-12-13,2527.39,2529.86,2507.24,2518.8,21971345
2012-12-14,2520.97,2536.8,2513.66,2536.8,36748511
2012-12-17,2532.75,2551.53,2527.73,2551.53,47507226
2012-12-18,2558.71,2575.81,2555.4,2575.81,48074316
2012-12-19,2578.06,2607.08,2578.06,2602.51,103554678
2012-12-20,2587.03,2609.06,2583.67,2593.73,80548382
2012-12-21,2578.19,2584.34,2554.4,2583.06,107254873
2012-12-27,2581.96,2613.33,2577.79,2600.67,44735075
2012-12-28,2613.76,2618.06,2582.98,2582.98,50102327
2013-01-02,2618.86,2634.18,2614.16,2626.21,28243538
2013-01-03,2617.93,2628.36,2609.11,2628.36,39118699
2013-01-04,2615.09,2617.13,2592.47,2601.73,64091407
2013-01-07,2600.21,2602.15,2572.42,2578.48,23152257
2013-01-08,2571.61,2590.51,2555.12,2562.63,34913834
2013-01-09,2564.38,2570.15,2551.21,2567.59,34702753
2013-01-10,2572.11,2587.5,2550.52,2573.62,37693085
2013-01-11,2573.78,2575.5,2551.92,2557.93,21522782
2013-01-14,2567.29,2579.96,2554.54,2560.14,22636612
2013-01-15,2549.83,2554.19,2526.39,2532.42,25383984
2013-01-16,2524.36,2565.15,2520.28,2565.15,37042412
2013-01-17,2563.8,2585.63,2557.35,2567.16,40944530
2013-01-18,2584.56,2584.99,2563.1,2572.14,20446647
2013-01-21,2570.44,2578.18,2564.17,2573.67,15196349
2013-01-22,2581.16,2584.11,2557.5,2566.6,19423454
2013-01-23,2552.99,2573.61,2547.14,2558.39,40864378
2013-01-24,2561.17,2571.24,2549.45,2568.63,44572994
2013-01-25,2571.7,2576.66,2533.01,2542.32,34391895
2013-01-28,2534.4,2539.89,2511.5,2521.5,28120036
2013-01-29,2525.08,2525.22,2503.97,2524.36,33039711
2013-01-30,2501.65,2524.19,2490.37,2496.15,48904076
2013-01-31,2499,2503.27,2480.56,2492.76,57208587
2013-02-01,2497.28,2507.45,2493.77,2499.19,43498500
2013-02-04,2511.9,2520.16,2469.73,2469.73,37370824
2013-02-05,2475.86,2485.25,2473.16,2485.25,25052568
2013-02-06,2491.04,2494.26,2455.47,2455.47,56234474
2013-02-07,2458.97,2487.42,2454.2,2467.45,66990414
2013-02-08,2481.34,2500.4,2476.37,2495.42,43248138
2013-02-11,2501.76,2508.47,2489.69,2497.88,44602904
2013-02-12,2492.42,2513.11,2462.43,2470.48,102431436
2013-02-13,2470.45,2480.63,2462.69,2471.21,99134562
2013-02-14,2471.87,2476.36,2443.87,2456.36,52872628
2013-02-15,2448.93,2474.63,2443.72,2467.63,40522382
2013-02-18,2475.15,2485.03,2473.66,2476.01,33332426
2013-02-19,2476.62,2493.83,2470.95,2477.19,42692707
2013-02-20,2468.93,2476.67,2438.72,2443.16,48673223
2013-02-21,2432.27,2436.47,2407.65,2436.47,40654254
2013-02-22,2438.8,2441.02,2423.74,2437.24,35181640
2013-02-25,2440.83,2466.39,2433.7,2454.92,28463216
2013-02-26,2421.67,2433.03,2420.82,2428.57,38177700
2013-02-27,2439.27,2450.36,2431.56,2450.36,29122359
2013-02-28,2458.75,2462.32,2443.26,2452.01,43338280
2013-03-01,2441.18,2453.03,2428.72,2452.86,35545352
2013-03-04,2440.98,2445.8,2432.2,2438.97,32691125
2013-03-05,2450.45,2477.68,2450.16,2477.68,53477898
2013-03-06,2482.25,2498.61,2477.94,2481.36,47545420
2013-03-07,2478.96,2485,2471.46,2474.7,29561629
2013-03-08,2485.48,2505.66,2480.86,2490.7,26154320
2013-03-11,2491.79,2494.14,2476.03,2479.2,20958934
2013-03-12,2480.19,2486.86,2473.77,2482.39,13381898
2013-03-13,2478.34,2484.37,2467.99,2473.95,24118150
2013-03-14,2471.85,2510.5,2470.73,2498.84,38677125
2013-03-15,2513.49,2518.12,2484.55,2486.3,77873753
2013-03-18,2458.58,2468.03,2439.52,2453.9,26893880
2013-03-19,2450.53,2455.39,2419.94,2421.94,21472643
2013-03-20,2428.64,2440.66,2420.21,2422.61,28433618
2013-03-21,2435.54,2435.76,2388.28,2395.82,43184880
2013-03-22,2391.08,2391.84,2367.71,2370.02,64503752
2013-03-25,2401.48,2401.48,2334.87,2339.48,28172996
2013-03-26,2346.5,2356.06,2330.45,2353.41,45081156
2013-03-27,2356.68,2385.27,2341.38,2385.27,37066114
2013-03-28,2368.15,2389.19,2355.28,2370.07,38119170
2013-04-02,2373.73,2382.59,2365.11,2375.67,19024392
2013-04-03,2372.45,2373.55,2325.35,2336.45,30677652
2013-04-04,2336.22,2349.55,2318.03,2342.64,33472158
2013-04-05,2347.74,2361.08,2330.98,2346.37,41114530
2013-04-08,2364.48,2376.85,2344.72,2344.72,32439570
2013-04-09,2357.88,2361.57,2338.26,2347.1,37002869
2013-04-10,2351.58,2382.72,2348.91,2370.51,49278128
2013-04-11,2382.68,2409.02,2373.77,2409.02,33477085
2013-04-12,2403.47,2406.11,2386.89,2397.08,23301304
2013-04-15,2381.83,2394.29,2330.61,2350.08,39359114
2013-04-17,2368.16,2368.16,2297.97,2304.59,60625942
2013-04-18,2296.87,2306.47,2269.22,2269.22,43731530
2013-04-19,2283.21,2287.38,2257.39,2277.71,88934014
2013-04-22,2287.58,2303.18,2271.7,2278.07,27703915
2013-04-23,2271.65,2276.35,2251.8,2273.47,95066306
2013-04-24,2282.98,2289.49,2255.07,2286.71,172084268
2013-04-25,2294.25,2296.92,2268.42,2288.09,182101526
2013-04-26,2290.17,2305.34,2280.57,2294.06,165056583
2013-04-29,2304.01,2312.31,2296.86,2303.18,190825581
2013-04-30,2307.57,2319.15,2277.86,2319.15,153484077
2013-05-02,2315.66,2329.23,2305.25,2305.9,38480697
2013-05-06,2323.45,2339.22,2312.17,2339.22,34398053
2013-05-07,2334.06,2360.18,2330.08,2347.82,29622466
2013-05-08,2352.94,2367.91,2350.27,2367.91,23545958
2013-05-09,2373.45,2376.32,2344.01,2348.95,40552283
2013-05-10,2348.88,2356.83,2332.43,2338.16,25695956
2013-05-13,2332.79,2357.28,2331.35,2354.34,22248183
2013-05-14,2360.01,2391.5,2348.58,2386.81,37086448
2013-05-15,2401.86,2408.86,2384.54,2408.86,27079105
2013-05-16,2404.35,2405.1,2386.66,2390.32,32719434
2013-05-17,2385.95,2404.39,2382.36,2391.07,31185651
2013-05-20,2399.34,2413.42,2376.78,2376.78,24569132
2013-05-21,2387.95,2392.72,2368.6,2370.32,17498383
2013-05-22,2384.49,2385.49,2366.59,2371.95,33208186
2013-05-23,2333.88,2366,2330.01,2359.42,41774935
2013-05-24,2365.83,2394.02,2365.83,2384.58,39843843
2013-05-27,2398,2451.06,2397.84,2451.06,21065087
2013-05-28,2460.62,2488.85,2454.17,2469.37,33711707
2013-05-29,2460.67,2476.84,2453.84,2463.37,38274112
2013-05-31,2452.28,2485.5,2452.28,2485.5,85871978
2013-06-03,2455.33,2471.68,2439.05,2443.65,32230641
2013-06-04,2453.83,2467.14,2451.9,2462.92,22388902
2013-06-05,2456.38,2473.41,2447.58,2461.51,25987261
2013-06-06,2459.51,2467.03,2444.58,2446.29,33330719
2013-06-07,2448.36,2505.57,2445.28,2488.84,26202724
2013-06-10,2492.19,2512.99,2492.19,2503.41,34371843
2013-06-11,2498.95,2499.93,2473.16,2484.11,24682292
2013-06-12,2484.07,2496.04,2475.94,2481.6,57311708
2013-06-13,2457.15,2482.96,2450.62,2472.75,65353770
2013-06-14,2490.35,2497.1,2474.87,2478.43,34411639
2013-06-17,2484.38,2486.16,2457.96,2463.37,63515470
2013-06-18,2469.67,2472.68,2450.08,2455.15,29491067
2013-06-19,2450.49,2450.49,2412.52,2413.4,28375582
2013-06-20,2390.34,2398.75,2297.91,2297.91,59304171
2013-06-21,2300.11,2317.63,2215.6,2233.64,158063472
2013-06-24,2239.58,2256.87,2225.68,2244.27,30158168
2013-06-25,2254.47,2263.12,2243.15,2246.69,26989143
2013-06-26,2193.97,2262.26,2180.72,2246.66,39418348
2013-06-27,2258.62,2261.24,2150.82,2177.02,38756412
2013-06-28,2182.29,2245.64,2161.32,2245.64,42862322
2013-07-01,2246.74,2258.19,2230.86,2237.25,18086361
2013-07-02,2248.42,2296,2231.14,2284.76,25533882
2013-07-03,2260.29,2275.81,2233.6,2262.92,23847967
2013-07-04,2271.27,2292.4,2258.73,2287.54,12449473
2013-07-05,2293.84,2295.73,2243.43,2253.49,19623995
2013-07-08,2259.32,2265.29,2223.28,2223.28,14065811
2013-07-09,2236.28,2237.85,2200.11,2218.77,17260494
2013-07-10,2203.49,2246.47,2199.28,2244.63,17169742
2013-07-11,2275.84,2283.06,2269.38,2279.09,16235926
2013-07-12,2279.7,2309.37,2269.47,2302.81,21599589
2013-07-15,2298.88,2307.57,2286.8,2305.78,12012786
2013-07-16,2309.76,2310.57,2292.46,2303.05,18834705
2013-07-17,2298.26,2320.76,2287.4,2309.79,17803783
2013-07-18,2310.93,2313,2277.94,2300.33,16313014
2013-07-19,2291.48,2315.38,2284.32,2313.31,10242797
2013-07-22,2320.26,2325.31,2304.54,2311.49,11191856
2013-07-23,2317.65,2328.12,2310.2,2327.28,16194656
2013-07-24,2318.02,2333.88,2310.47,2324.17,18692047
2013-07-25,2321.49,2323.1,2294.54,2317.8,16485439
2013-07-26,2308.7,2312.11,2289.47,2291.1,11054087
2013-07-29,2293.44,2299.26,2281.5,2299.26,9062176
2013-07-30,2304.88,2308.73,2294.27,2307.79,11024059
2013-07-31,2304.79,2349.54,2302.31,2326.59,29988263
2013-08-01,2345.38,2359.56,2339.28,2351.14,16343347
2013-08-02,2359.12,2408.98,2356.43,2401.85,24767893
2013-08-05,2410.42,2411.63,2394.88,2405.73,12275416
2013-08-06,2400.68,2401.67,2362.61,2366.74,19541318
2013-08-07,2361.26,2381.35,2350.96,2380.01,15362940
2013-08-08,2387.07,2431.15,2386.33,2406.4,22235951
2013-08-09,2414.84,2420.22,2387.28,2414.28,14669208
2013-08-12,2415.45,2447.19,2403.27,2440.05,18925342
2013-08-13,2449.95,2457.28,2425.62,2442.3,17631870
2013-08-14,2437.2,2475.83,2436.01,2461.22,25350966
2013-08-16,2457.38,2463.17,2443.88,2445.6,12990262
2013-08-19,2447.66,2447.66,2419.11,2438.83,12972064
2013-08-20,2413.26,2422.45,2397.36,2405.32,17631135
2013-08-21,2394.76,2405.6,2383.15,2383.15,18486281
2013-08-22,2386.05,2422.67,2386.05,2420.68,24807690
2013-08-23,2417.45,2432.62,2405.23,2417.23,19706528
2013-08-26,2433.1,2442.15,2417.25,2417.91,9866585
2013-08-27,2407.56,2414.27,2367.63,2367.63,19481743
2013-08-28,2368.77,2376.16,2344.57,2361.85,19051178
2013-08-29,2380.22,2383.67,2357.63,2367.84,20498123
2013-08-30,2376.84,2384.22,2352.82,2384.22,25473915
2013-09-02,2407.47,2411.51,2394.21,2394.9,13335297
2013-09-03,2387.32,2397.51,2360.51,2367.49,26342014
2013-09-04,2372.28,2392.47,2303.27,2308.44,31824738
2013-09-05,2274.54,2283.67,2166.14,2201.5,47265924
2013-09-06,2211.27,2260.7,2210.37,2238.98,53615721
2013-09-09,2259.44,2290.86,2247.26,2290.86,23120272
2013-09-10,2315.44,2357.25,2310.73,2357.25,38577849
2013-09-11,2354.82,2380.01,2333.06,2380.01,24595415
2013-09-12,2370.07,2399.23,2366.58,2399.23,25045088
2013-09-13,2388.44,2394.83,2374.65,2375.44,20464562
2013-09-16,2409.96,2410.55,2354.47,2354.66,18224910
2013-09-17,2340.8,2365.36,2332.83,2365.36,17310155
2013-09-18,2361.7,2375.47,2350.42,2363.78,15422619
2013-09-19,2418.02,2421.13,2391.65,2410.92,31957574
2013-09-20,2408.89,2417.41,2387.69,2408.16,32915056
2013-09-23,2399.44,2417.15,2379.19,2388.66,42602017
2013-09-24,2392.96,2400.05,2380.16,2393.06,17635085
2013-09-25,2387.9,2414.74,2379.9,2407.12,32598391
2013-09-26,2418.06,2445.36,2413.93,2435.83,22239817
2013-09-27,2441,2447.95,2415.5,2422.46,24360073
2013-09-30,2402.4,2412.91,2391.53,2391.53,21515916
2013-10-01,2381.18,2413.17,2377.32,2413.17,18929307
2013-10-02,2405.63,2414.4,2390.36,2412.37,23678764
2013-10-03,2415.05,2427.4,2411.27,2420.17,18218832
2013-10-04,2412.99,2415.34,2392.04,2394.59,22902024
2013-10-07,2386.07,2386.84,2356.84,2380.18,26292297
2013-10-08,2381.62,2384.16,2366.2,2373.23,21040960
2013-10-09,2371.84,2386.56,2357.02,2384.3,18815115
2013-10-10,2395.64,2474.54,2395.64,2468.7,57199336
2013-10-11,2483.34,2500.51,2468.51,2489.64,23287609
2013-10-14,2478.93,2507.74,2474.01,2498.77,14427867
2013-10-15,2517.29,2541.69,2490.34,2490.34,27630106
2013-10-16,2492.94,2521.67,2486.75,2505.2,30754733
2013-10-17,2500.69,2514.81,2474.92,2474.92,19053776
2013-10-18,2484.74,2495.03,2454.1,2485.13,22698381
2013-10-21,2495.4,2554.61,2494.25,2554.61,28573618
2013-10-22,2560.07,2567.31,2536.21,2544.45,35547969
2013-10-23,2532.12,2538.29,2518.26,2523.32,24660544
2013-10-24,2538.93,2554.32,2532.85,2551.43,18082944
2013-10-25,2542.7,2552.33,2527.24,2537.62,20743876
2013-10-28,2556.69,2564.65,2548.54,2557.77,20065931
2013-10-29,2560.36,2587.26,2559.21,2574.6,25151594
2013-10-30,2583.42,2588.59,2545.4,2553.51,26283733
2013-10-31,2546.18,2551.48,2527.04,2528.97,17810798
2013-11-04,2546.2,2548.15,2529.36,2548.15,17756576
2013-11-05,2559.5,2562.88,2518.14,2521.41,18452996
2013-11-06,2531.14,2546.87,2527.5,2546.67,19012685
2013-11-07,2524.52,2552.91,2514.38,2527.66,15136897
2013-11-08,2509.84,2514.8,2491.74,2509.11,13163919
2013-11-12,2516.63,2523.82,2502.82,2503.6,17837736
2013-11-13,2491.28,2495.68,2460.86,2468.82,22752635
2013-11-14,2505.07,2507.49,2487.18,2499.23,20090743
2013-11-15,2512.03,2551.68,2512.03,2547.01,19716397
2013-11-18,2552.71,2622.25,2550.99,2622.25,26492916
2013-11-19,2613.37,2614.17,2597.61,2600.66,21936571
2013-11-20,2598.78,2605.43,2581.55,2594.99,24361040
2013-11-21,2578.25,2590.05,2569.08,2581.98,14391059
2013-11-22,2596.6,2599.83,2579.25,2590.48,18302475
2013-11-25,2619.94,2625.83,2597.67,2615.22,24697136
2013-11-26,2589.42,2595.28,2558.85,2573.49,29363157
2013-11-27,2572.39,2590.3,2565.9,2590.3,14776492
2013-11-28,2588.57,2594.79,2566.29,2572.72,10937459
2013-11-29,2573.18,2587.33,2567.29,2584.68,15835004
2013-12-02,2578.62,2592.45,2535.69,2535.69,15363881
2013-12-03,2543.97,2543.97,2504.9,2507.92,23691799
2013-12-04,2508.79,2516.61,2477.16,2497.76,23029376
2013-12-05,2497.6,2502.46,2478.1,2478.1,19029749
2013-12-06,2493.45,2495.37,2466.76,2479.16,25100155
2013-12-09,2501,2504.41,2478.77,2478.77,14822260
2013-12-10,2477.44,2487.11,2432.69,2474.62,26241212
2013-12-11,2467.22,2487.51,2464.84,2470.2,18243847
2013-12-12,2453.76,2456.66,2427.52,2440.61,20381714
2013-12-13,2451.37,2453.25,2411.57,2429.67,19910485
2013-12-16,2425.26,2436.68,2412.88,2433.47,20464638
2013-12-17,2430.67,2430.86,2392.26,2392.26,17416928
2013-12-18,2393.65,2421.41,2372.62,2398.49,31781156
2013-12-19,2421.79,2424.07,2364.12,2378.23,21375882
2013-12-20,2372.22,2408.84,2372.22,2408.84,59786499
2013-12-23,2431.43,2431.43,2414.19,2414.19,13582723
2013-12-27,2426.17,2426.24,2400.84,2404.35,12319588
2013-12-30,2409.44,2409.44,2395.24,2400.98,11314221
2014-01-02,2426.09,2431.86,2411.83,2430.72,10273485
2014-01-03,2417.08,2425.88,2404.28,2405.22,11123420
2014-01-07,2384.99,2385.49,2338.8,2349.6,22122691
2014-01-08,2350.34,2373.78,2331.66,2363.38,19689935
2014-01-09,2361.12,2371.63,2325.54,2325.54,22532158
2014-01-10,2322.14,2327.89,2304.1,2327.89,37030432
2014-01-13,2338.79,2375.04,2337.12,2363.88,22159582
2014-01-14,2353.62,2391.59,2346.53,2377.55,22605325
2014-01-15,2400.92,2406.15,2387.02,2396.68,20169555
2014-01-16,2401.24,2418.02,2385.58,2401.87,12989983
2014-01-17,2398.39,2402.18,2373.06,2376.28,17122629
2014-01-20,2370.21,2382.16,2360.96,2379.22,10677395
2014-01-21,2384.65,2421.26,2384.6,2411.26,17639536
2014-01-22,2423.73,2443.84,2407.73,2432.78,25181579
2014-01-23,2430.86,2440.93,2406.37,2406.37,30177020
2014-01-24,2403.38,2412.53,2347.44,2347.44,29490502
2014-01-27,2326.74,2356.88,2313.3,2318.06,30634780
2014-01-28,2335.75,2342.72,2320.05,2333.83,30829744
2014-01-29,2355.02,2367.6,2300.6,2313.34,28360235
2014-01-30,2298.52,2339.52,2279.64,2335.89,26162743
2014-01-31,2336.95,2355.89,2320.23,2355.89,31173560
2014-02-03,2360.19,2388.22,2360.19,2369.57,19523868
2014-02-04,2337.03,2372.35,2334.5,2353.8,20492206
2014-02-05,2355.6,2372.57,2348.95,2359,36569056
2014-02-06,2374.28,2419.47,2367.84,2419.47,27529853
2014-02-07,2417.92,2423.75,2405.18,2420.94,24463534
2014-02-10,2419.07,2423.82,2405.17,2411.36,15792428
2014-02-11,2412.45,2443.71,2407.32,2443.71,24262509
2014-02-12,2460.45,2486.5,2449.72,2482.58,45863563
2014-02-13,2474.61,2489.67,2466.16,2489.67,19470110
2014-02-14,2488.06,2498.11,2468.65,2482.75,19920817
2014-02-17,2487.13,2494.07,2474.01,2481.23,10957864
2014-02-18,2495.61,2496.39,2470.4,2470.87,17303361
2014-02-19,2461.82,2493.94,2454.16,2486.13,17830296
2014-02-20,2459.28,2473.08,2450.51,2462.84,20864770
2014-02-21,2482.45,2495.14,2474.99,2487.72,16422194
2014-02-24,2486.16,2526.9,2481.13,2526.9,17519921
2014-02-25,2526.12,2526.19,2504.33,2507.06,16926818
2014-02-26,2515.48,2517.19,2467.89,2478.38,26998365
